origin,destination,count
Baltimore/Washington International Thurgood Marshall Airport,Albany International Airport,1704
Baltimore/Washington International Thurgood Marshall Airport,Albuquerque International Sunport,511
Baltimore/Washington International Thurgood Marshall Airport,Austin Bergstrom International Airport,630
Baltimore/Washington International Thurgood Marshall Airport,Bill & Hillary Clinton National Airport/Adams Field,319
Baltimore/Washington International Thurgood Marshall Airport,Birmingham-Shuttlesworth International Airport,592
Baltimore/Washington International Thurgood Marshall Airport,Bishop International Airport,538
Baltimore/Washington International Thurgood Marshall Airport,Bradley International Airport,2199
Baltimore/Washington International Thurgood Marshall Airport,Buffalo Niagara International Airport,1803
Baltimore/Washington International Thurgood Marshall Airport,Charleston Air Force Base-International Airport,1024
Baltimore/Washington International Thurgood Marshall Airport,Charlotte Douglas International Airport,3694
Baltimore/Washington International Thurgood Marshall Airport,Chicago Midway International Airport,2178
Baltimore/Washington International Thurgood Marshall Airport,Chicago OHare International Airport,2758
Baltimore/Washington International Thurgood Marshall Airport,Cincinnati Northern Kentucky International Airport,6
Baltimore/Washington International Thurgood Marshall Airport,Cleveland Hopkins International Airport,1190
Baltimore/Washington International Thurgood Marshall Airport,Dallas Fort Worth International Airport,1922
Baltimore/Washington International Thurgood Marshall Airport,Dallas Love Field,1209
Baltimore/Washington International Thurgood Marshall Airport,Denver International Airport,2086
Baltimore/Washington International Thurgood Marshall Airport,Detroit Metropolitan Wayne County Airport,2645
Baltimore/Washington International Thurgood Marshall Airport,Fort Lauderdale Hollywood International Airport,4286
Baltimore/Washington International Thurgood Marshall Airport,General Edward Lawrence Logan International Airport,4838
Baltimore/Washington International Thurgood Marshall Airport,General Mitchell International Airport,858
Baltimore/Washington International Thurgood Marshall Airport,George Bush Intercontinental Houston Airport,1121
Baltimore/Washington International Thurgood Marshall Airport,Gerald R. Ford International Airport,647
Baltimore/Washington International Thurgood Marshall Airport,Greater Rochester International Airport,716
Baltimore/Washington International Thurgood Marshall Airport,Greenville Spartanburg International Airport,375
Baltimore/Washington International Thurgood Marshall Airport,Hartsfield Jackson Atlanta International Airport,6418
Baltimore/Washington International Thurgood Marshall Airport,Indianapolis International Airport,1028
Baltimore/Washington International Thurgood Marshall Airport,Jacksonville International Airport,1109
Baltimore/Washington International Thurgood Marshall Airport,James M Cox Dayton International Airport,695
Baltimore/Washington International Thurgood Marshall Airport,John F Kennedy International Airport,364
Baltimore/Washington International Thurgood Marshall Airport,John Glenn Columbus International Airport,1414
Baltimore/Washington International Thurgood Marshall Airport,Kansas City International Airport,785
Baltimore/Washington International Thurgood Marshall Airport,Long Island Mac Arthur Airport,1546
Baltimore/Washington International Thurgood Marshall Airport,Los Angeles International Airport,1152
Baltimore/Washington International Thurgood Marshall Airport,Louis Armstrong New Orleans International Airport,828
Baltimore/Washington International Thurgood Marshall Airport,Louisville International Standiford Field,1125
