iata,name,city,state,country,latitude,longitude
BTI,Barter Island LRRS Airport,Barter Island,NA,USA,70.13400269,-143.5820007
LUR,Cape Lisburne LRRS Airport,Cape Lisburne,NA,USA,68.87509918,-166.1100006
PIZ,Point Lay LRRS Airport,Point Lay,NA,USA,69.73290253,-163.0050049
ITO,Hilo International Airport,Hilo,NA,USA,19.72139931,-155.0480042
ORL,Orlando Executive Airport,Orlando,NA,USA,28.5455,-81.332901
BTT,Bettles Airport,Bettles,NA,USA,66.91390228,-151.529007
UTO,Indian Mountain LRRS Airport,Indian Mountains,NA,USA,65.99279785,-153.7039948
FYU,Fort Yukon Airport,Fort Yukon,NA,USA,66.57150269,-145.25
SVW,Sparrevohn LRRS Airport,Sparrevohn,NA,USA,61.09740067,-155.5740051
FRN,Bryant Army Heliport,Fort Richardson,NA,USA,61.26639938,-149.6529999
TLJ,Tatalina LRRS Airport,Tatalina,NA,USA,62.89440155,-155.977005
CZF,Cape Romanzof LRRS Airport,Cape Romanzof,NA,USA,61.78030014,-166.0390015
BED,Laurence G Hanscom Field,Bedford,NA,USA,42.47000122,-71.28900146
SNP,St Paul Island Airport,St. Paul Island,NA,USA,57.16730118,-170.2200012
EHM,Cape Newenham LRRS Airport,Cape Newenham,NA,USA,58.64640045,-162.0630035
STG,St George Airport,Point Barrow,NA,USA,56.57830048,-169.6620026
ILI,Iliamna Airport,Iliamna,NA,USA,59.75439835,-154.9109955
PTU,Platinum Airport,Port Moller,NA,USA,59.01139832,-161.8200073
BMX,Big Mountain Airport,Big Mountain,NA,USA,59.36119843,-155.2590027
OSC,Oscoda Wurtsmith Airport,Oscoda,NA,USA,44.451599,-83.394096
OAR,Marina Municipal Airport,Fort Ord,NA,USA,36.68190002,-121.762001
MHR,Sacramento Mather Airport,Sacramento,NA,USA,38.55390167,-121.2979965
BYS,Bicycle Lake Army Air Field,Fort Irwin,NA,USA,35.2804985,-116.6299973
FSM,Fort Smith Regional Airport,Fort Smith,NA,USA,35.33660126,-94.36740112
MRI,Merrill Field,Anchorage,NA,USA,61.21350098,-149.8439941
GNT,Grants-Milan Municipal Airport,Grants,NA,USA,35.16730118,-107.9020004
PNC,Ponca City Regional Airport,Ponca City,NA,USA,36.73199844,-97.09980011
SVN,Hunter Army Air Field,Hunter Aaf,NA,USA,32.00999832,-81.14569855
GFK,Grand Forks International Airport,Grand Forks,NA,USA,47.949299,-97.176102
PBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,NA,USA,34.1731,-91.9356
NSE,Whiting Field Naval Air Station - North,Milton,NA,USA,30.7241993,-87.02189636
HNM,Hana Airport,Hana,NA,USA,20.79560089,-156.0140076
PRC,Ernest A. Love Field,Prescott,NA,USA,34.65449905,-112.4199982
