ROUTE,DAY,DELAY
ORD-ATL,SUN,12392
ORD-ATL,MON,24906
ORD-ATL,TUE,15825
ORD-ATL,WED,16025
ORD-ATL,THU,18092
ORD-ATL,FRI,13560
ORD-ATL,SAT,8471
ORD-JFK,SUN,5566
ORD-JFK,MON,7238
ORD-JFK,TUE,5050
ORD-JFK,WED,6194
ORD-JFK,THU,6063
ORD-JFK,FRI,3888
ORD-JFK,SAT,5002
ORD-LAX,SUN,16070
ORD-LAX,MON,25576
ORD-LAX,TUE,18274
ORD-LAX,WED,17242
ORD-LAX,THU,19781
ORD-LAX,FRI,17954
ORD-LAX,SAT,13396
ATL-ORD,SUN,11234
ATL-ORD,MON,19636
ATL-ORD,TUE,15584
ATL-ORD,WED,15931
ATL-ORD,THU,18197
ATL-ORD,FRI,12882
ATL-ORD,SAT,7492
JFK-ORD,SUN,3830
JFK-ORD,MON,5019
JFK-ORD,TUE,3709
JFK-ORD,WED,4318
JFK-ORD,THU,4349
JFK-ORD,FRI,3107
JFK-ORD,SAT,3533
LAX-ORD,SUN,12364
LAX-ORD,MON,20140
LAX-ORD,TUE,13136
LAX-ORD,WED,12745
LAX-ORD,THU,16012
LAX-ORD,FRI,15360
LAX-ORD,SAT,14948
ATL-ABE,SUN,1607
ATL-ABE,MON,1797
ATL-ABE,TUE,1913
ATL-ABE,WED,1242
ATL-ABE,THU,1933
ATL-ABE,FRI,1257
ATL-ABE,SAT,619
ATL-ABQ,SUN,575
ATL-ABQ,MON,885
ATL-ABQ,TUE,1054
ATL-ABQ,WED,1248
ATL-ABQ,THU,2034
ATL-ABQ,FRI,709
ATL-ABQ,SAT,422
ATL-ABY,SUN,1636
ATL-ABY,MON,1787
ATL-ABY,TUE,1588
ATL-ABY,WED,1538
ATL-ABY,THU,1981
ATL-ABY,FRI,1433
ATL-ABY,SAT,910
ATL-ACY,SUN,601
ATL-ACY,MON,515
ATL-ACY,TUE,454
ATL-ACY,WED,176
ATL-ACY,THU,742
ATL-ACY,FRI,194
ATL-ACY,SAT,935
ATL-AEX,SUN,2200
ATL-AEX,MON,3163
ATL-AEX,TUE,2143
ATL-AEX,WED,2458
ATL-AEX,THU,2817
ATL-AEX,FRI,1739
ATL-AEX,SAT,540
ATL-AGS,SUN,2411
ATL-AGS,MON,4515
ATL-AGS,TUE,3653
ATL-AGS,WED,4435
ATL-AGS,THU,4571
ATL-AGS,FRI,2604
ATL-AGS,SAT,1922
ATL-ALB,SUN,534
ATL-ALB,MON,1472
ATL-ALB,TUE,1624
ATL-ALB,WED,1222
ATL-ALB,THU,1699
ATL-ALB,FRI,459
ATL-ALB,SAT,322
ATL-ANC,SUN,341
ATL-ANC,MON,0
ATL-ANC,TUE,141
ATL-ANC,WED,225
ATL-ANC,THU,224
ATL-ANC,FRI,67
ATL-ANC,SAT,17
ATL-ASE,SUN,198
ATL-ASE,MON,86
ATL-ASE,TUE,93
ATL-ASE,WED,232
ATL-ASE,THU,151
ATL-ASE,FRI,156
ATL-ASE,SAT,227
ATL-ATW,SUN,759
ATL-ATW,MON,496
ATL-ATW,TUE,596
ATL-ATW,WED,694
ATL-ATW,THU,629
ATL-ATW,FRI,1043
ATL-ATW,SAT,49
ATL-AUS,SUN,4238
ATL-AUS,MON,4275
ATL-AUS,TUE,5299
ATL-AUS,WED,5736
ATL-AUS,THU,5515
ATL-AUS,FRI,3828
ATL-AUS,SAT,2634
ATL-AVL,SUN,2071
ATL-AVL,MON,3998
ATL-AVL,TUE,3182
ATL-AVL,WED,2537
ATL-AVL,THU,2289
ATL-AVL,FRI,2428
ATL-AVL,SAT,1724
ATL-AVP,SUN,507
ATL-AVP,MON,836
ATL-AVP,TUE,531
ATL-AVP,WED,1469
ATL-AVP,THU,748
ATL-AVP,FRI,570
ATL-AVP,SAT,265
ATL-AZO,SUN,0
ATL-AZO,THU,0
ATL-AZO,FRI,15
ATL-AZO,SAT,186
ATL-BDL,SUN,1942
ATL-BDL,MON,2200
ATL-BDL,TUE,2549
ATL-BDL,WED,1805
ATL-BDL,THU,3020
ATL-BDL,FRI,1275
ATL-BDL,SAT,1076
ATL-BHM,SUN,1775
ATL-BHM,MON,3643
ATL-BHM,TUE,3225
ATL-BHM,WED,3151
ATL-BHM,THU,4280
ATL-BHM,FRI,2741
ATL-BHM,SAT,2255
ATL-BMI,SUN,2679
ATL-BMI,MON,1856
ATL-BMI,TUE,2797
ATL-BMI,WED,1587
ATL-BMI,THU,2345
ATL-BMI,FRI,2064
ATL-BMI,SAT,667
ATL-BNA,SUN,3074
ATL-BNA,MON,3237
ATL-BNA,TUE,4445
ATL-BNA,WED,3383
ATL-BNA,THU,3793
ATL-BNA,FRI,4642
ATL-BNA,SAT,1246
ATL-BOS,SUN,6695
ATL-BOS,MON,5496
ATL-BOS,TUE,8280
ATL-BOS,WED,6884
ATL-BOS,THU,8368
ATL-BOS,FRI,5643
ATL-BOS,SAT,3720
